SessionId,FirstName,LastName,Biography,PhotoUrl,AvatarUrl,PositionName,CompanyName,CompanyWebsiteUrl,BlogUrl,TwitterUrl,LinkedInUrl,FullName,Title,AvatarUri,PhotoUri,Email,RemoteId,Id
6,Samantha,Wilson,"Hi my name is Samantha, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/7.jpg,https://xamarin.github.io/app-employee-directory/images/women/7.thumb.jpg,SVP of Marketing,Xamarin,xamarin.com,motzcod.es,SamanthaWilson,samanthawilson,Samantha Wilson,"SVP of Marketing, Xamarin",https://xamarin.github.io/app-employee-directory/images/women/7.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/7.jpg,,,9
6,Derek,Martinez,"Hi my name is Derek, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/1.jpg,https://xamarin.github.io/app-employee-directory/images/men/1.thumb.jpg,HR Manager,Microsoft,microsoft.com,motzcod.es,DerekMartinez,derekmartinez,Derek Martinez,"HR Manager, Microsoft",https://xamarin.github.io/app-employee-directory/images/men/1.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/1.jpg,,,10
7,Brianne,Anderson,"Hi my name is Brianne, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/6.jpg,https://xamarin.github.io/app-employee-directory/images/women/6.thumb.jpg,HR Manager,Xamarin,xamarin.com,motzcod.es,BrianneAnderson,brianneanderson,Brianne Anderson,"HR Manager, Xamarin",https://xamarin.github.io/app-employee-directory/images/women/6.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/6.jpg,,,11
8,Sean,Taylor,"Hi my name is Sean, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/2.jpg,https://xamarin.github.io/app-employee-directory/images/men/2.thumb.jpg,Head of Engineering,Couchbase,couchbase.com,motzcod.es,SeanTaylor,seantaylor,Sean Taylor,"Head of Engineering, Couchbase",https://xamarin.github.io/app-employee-directory/images/men/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/2.jpg,,,12
9,Tammy,Thomas,"Hi my name is Tammy, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/9.jpg,https://xamarin.github.io/app-employee-directory/images/women/9.thumb.jpg,Senior Designer,Nintendo,nintendo.com,motzcod.es,TammyThomas,tammythomas,Tammy Thomas,"Senior Designer, Nintendo",https://xamarin.github.io/app-employee-directory/images/women/9.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/9.jpg,,,13
9,Brianne,Hernandez,"Hi my name is Brianne, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/2.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,Researcher,Amazon,amazon.com,motzcod.es,BrianneHernandez,briannehernandez,Brianne Hernandez,"Researcher, Amazon",https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.jpg,,,14
9,Jo Ann,Moore,"Hi my name is Jo Ann, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/5.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,Research Coordinator,Couchbase,couchbase.com,motzcod.es,JoAnnMoore,jo annmoore,Jo Ann Moore,"Research Coordinator, Couchbase",https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.jpg,,,15
10,Kai,Martin,"Hi my name is Kai, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/9.jpg,https://xamarin.github.io/app-employee-directory/images/men/9.thumb.jpg,Lead Designer,Couchbase,couchbase.com,motzcod.es,KaiMartin,kaimartin,Kai Martin,"Lead Designer, Couchbase",https://xamarin.github.io/app-employee-directory/images/men/9.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/9.jpg,,,16
10,Ashley,Jackson,"Hi my name is Ashley, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/3.jpg,https://xamarin.github.io/app-employee-directory/images/women/3.thumb.jpg,VP of HR,IBM,ibm.com,motzcod.es,AshleyJackson,ashleyjackson,Ashley Jackson,"VP of HR, IBM",https://xamarin.github.io/app-employee-directory/images/women/3.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/3.jpg,,,17
11,Samantha,Thompson,"Hi my name is Samantha, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/2.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,Marketing Coordinator,IBM,ibm.com,motzcod.es,SamanthaThompson,samanthathompson,Samantha Thompson,"Marketing Coordinator, IBM",https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.jpg,,,18
12,Allison,White,"Hi my name is Allison, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/2.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,VP of Marketing,Couchbase,couchbase.com,motzcod.es,AllisonWhite,allisonwhite,Allison White,"VP of Marketing, Couchbase",https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.jpg,,,19
13,Charles,Lopez,"Hi my name is Charles, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/9.jpg,https://xamarin.github.io/app-employee-directory/images/men/9.thumb.jpg,Director of Research,Amazon,amazon.com,motzcod.es,CharlesLopez,charleslopez,Charles Lopez,"Director of Research, Amazon",https://xamarin.github.io/app-employee-directory/images/men/9.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/9.jpg,,,20
13,Ashley,Lee,"Hi my name is Ashley, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/1.jpg,https://xamarin.github.io/app-employee-directory/images/women/1.thumb.jpg,Director of Research,IBM,ibm.com,motzcod.es,AshleyLee,ashleylee,Ashley Lee,"Director of Research, IBM",https://xamarin.github.io/app-employee-directory/images/women/1.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/1.jpg,,,21
13,Laura,Gonzalez,"Hi my name is Laura, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/1.jpg,https://xamarin.github.io/app-employee-directory/images/women/1.thumb.jpg,HR Manager,Xamarin,xamarin.com,motzcod.es,LauraGonzalez,lauragonzalez,Laura Gonzalez,"HR Manager, Xamarin",https://xamarin.github.io/app-employee-directory/images/women/1.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/1.jpg,,,22
14,Samantha,Harris,"Hi my name is Samantha, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/9.jpg,https://xamarin.github.io/app-employee-directory/images/women/9.thumb.jpg,Head of HR,Microsoft,microsoft.com,motzcod.es,SamanthaHarris,samanthaharris,Samantha Harris,"Head of HR, Microsoft",https://xamarin.github.io/app-employee-directory/images/women/9.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/9.jpg,,,23
14,Derek,Clark,"Hi my name is Derek, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/10.jpg,https://xamarin.github.io/app-employee-directory/images/men/10.thumb.jpg,SVP of Marketing,IBM,ibm.com,motzcod.es,DerekClark,derekclark,Derek Clark,"SVP of Marketing, IBM",https://xamarin.github.io/app-employee-directory/images/men/10.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/10.jpg,,,24
14,Sheena,Lewis,"Hi my name is Sheena, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/7.jpg,https://xamarin.github.io/app-employee-directory/images/women/7.thumb.jpg,HR Coordinator,Microsoft,microsoft.com,motzcod.es,SheenaLewis,sheenalewis,Sheena Lewis,"HR Coordinator, Microsoft",https://xamarin.github.io/app-employee-directory/images/women/7.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/7.jpg,,,25
15,Jo Ann,Robinson,"Hi my name is Jo Ann, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/10.jpg,https://xamarin.github.io/app-employee-directory/images/women/10.thumb.jpg,SVP of Design,Microsoft,microsoft.com,motzcod.es,JoAnnRobinson,jo annrobinson,Jo Ann Robinson,"SVP of Design, Microsoft",https://xamarin.github.io/app-employee-directory/images/women/10.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/10.jpg,,,26
15,Ian,Walker,"Hi my name is Ian, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/2.jpg,https://xamarin.github.io/app-employee-directory/images/men/2.thumb.jpg,HR Coordinator,IBM,ibm.com,motzcod.es,IanWalker,ianwalker,Ian Walker,"HR Coordinator, IBM",https://xamarin.github.io/app-employee-directory/images/men/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/2.jpg,,,27
15,Sheena,Perez,"Hi my name is Sheena, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/5.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,Marketing Manager,IBM,ibm.com,motzcod.es,SheenaPerez,sheenaperez,Sheena Perez,"Marketing Manager, IBM",https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.jpg,,,28
16,Ian,Hall,"Hi my name is Ian, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/3.jpg,https://xamarin.github.io/app-employee-directory/images/men/3.thumb.jpg,Director of HR,IBM,ibm.com,motzcod.es,IanHall,ianhall,Ian Hall,"Director of HR, IBM",https://xamarin.github.io/app-employee-directory/images/men/3.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/3.jpg,,,29
16,Claudia,Young,"Hi my name is Claudia, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/5.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,Research Coordinator,Nintendo,nintendo.com,motzcod.es,ClaudiaYoung,claudiayoung,Claudia Young,"Research Coordinator, Nintendo",https://xamarin.github.io/app-employee-directory/images/women/5.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/5.jpg,,,30
17,Samantha,Allen,"Hi my name is Samantha, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/6.jpg,https://xamarin.github.io/app-employee-directory/images/women/6.thumb.jpg,Facilities Manager,IBM,ibm.com,motzcod.es,SamanthaAllen,samanthaallen,Samantha Allen,"Facilities Manager, IBM",https://xamarin.github.io/app-employee-directory/images/women/6.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/6.jpg,,,31
17,Kim,Sanchez,"Hi my name is Kim, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/7.jpg,https://xamarin.github.io/app-employee-directory/images/women/7.thumb.jpg,Designer,Nintendo,nintendo.com,motzcod.es,KimSanchez,kimsanchez,Kim Sanchez,"Designer, Nintendo",https://xamarin.github.io/app-employee-directory/images/women/7.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/7.jpg,,,32
17,Brianne,Wright,"Hi my name is Brianne, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/10.jpg,https://xamarin.github.io/app-employee-directory/images/women/10.thumb.jpg,Director of Marketing,Xamarin,xamarin.com,motzcod.es,BrianneWright,briannewright,Brianne Wright,"Director of Marketing, Xamarin",https://xamarin.github.io/app-employee-directory/images/women/10.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/10.jpg,,,33
18,Nate,King,"Hi my name is Nate, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/men/1.jpg,https://xamarin.github.io/app-employee-directory/images/men/1.thumb.jpg,Head of HR,Nintendo,nintendo.com,motzcod.es,NateKing,nateking,Nate King,"Head of HR, Nintendo",https://xamarin.github.io/app-employee-directory/images/men/1.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/men/1.jpg,,,34
18,Laura,Scott,"Hi my name is Laura, I love you! This is my super awesome bio that you should read at the conference and it is awesome and pretty long. I thank you for coming to my sessions!",https://xamarin.github.io/app-employee-directory/images/women/2.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,Facilities Manager,Couchbase,couchbase.com,motzcod.es,LauraScott,laurascott,Laura Scott,"Facilities Manager, Couchbase",https://xamarin.github.io/app-employee-directory/images/women/2.thumb.jpg,https://xamarin.github.io/app-employee-directory/images/women/2.jpg,,,35
